### var1 :  event_nPV 
### var2 :  ph_et 
+10.00000	+15.00000	+35.00000	+50.00000	0.07330	0.00100	0.05451	0.00100	0.08241	0.07191	0.00000	0.08050
+15.00000	+20.00000	+35.00000	+50.00000	0.07977	0.00198	0.05750	0.00100	0.08919	0.07921	0.00000	0.08796
+20.00000	+25.00000	+35.00000	+50.00000	0.14326	0.00100	0.06048	0.00100	0.09855	0.08840	0.00000	0.09711
+25.00000	+30.00000	+35.00000	+50.00000	0.15399	0.00100	0.06350	0.00100	0.11060	0.09927	0.00000	0.10904
+30.00000	+35.00000	+35.00000	+50.00000	0.11418	0.00100	0.06704	0.00100	0.12139	0.11142	0.00000	0.11984
+35.00000	+40.00000	+35.00000	+50.00000	0.17007	0.00100	0.07018	0.00100	0.12798	0.11806	0.00000	0.12642
+40.00000	+50.00000	+35.00000	+50.00000	0.11942	0.00100	0.07430	0.00100	0.13151	0.12049	0.00000	0.13000
+50.00000	+100.00000	+35.00000	+50.00000	0.17874	0.00100	0.08066	0.00100	0.13420	0.12295	0.00000	0.13274
+10.00000	+15.00000	+50.00000	+70.00000	0.09056	0.00100	0.05408	0.00100	0.09198	0.14346	1.00000	0.10007
+15.00000	+20.00000	+50.00000	+70.00000	0.09435	0.00100	0.05676	0.00100	0.09560	0.12433	0.00000	0.10542
+20.00000	+25.00000	+50.00000	+70.00000	0.10567	0.00100	0.05887	0.00100	0.10168	0.12644	0.00000	0.11120
+25.00000	+30.00000	+50.00000	+70.00000	0.10389	0.00100	0.06143	0.00100	0.11255	0.14193	0.00000	0.12240
+30.00000	+35.00000	+50.00000	+70.00000	0.11467	0.00100	0.06485	0.00100	0.12222	0.15809	0.00000	0.13268
+35.00000	+40.00000	+50.00000	+70.00000	0.17455	0.00100	0.06793	0.00100	0.13023	0.15762	0.00000	0.14127
+40.00000	+50.00000	+50.00000	+70.00000	0.13028	0.00100	0.07177	0.00100	0.13232	0.16843	0.00000	0.14379
+50.00000	+100.00000	+50.00000	+70.00000	0.13663	0.00100	0.07907	0.00100	0.13777	0.20249	1.00000	0.14956
+10.00000	+15.00000	+70.00000	+200.00000	0.10428	0.01658	0.05449	0.00207	0.11737	0.37484	1.00000	0.10515
+15.00000	+20.00000	+70.00000	+200.00000	0.08358	0.00100	0.05540	0.00100	0.10221	0.35358	1.00000	0.09013
+20.00000	+25.00000	+70.00000	+200.00000	0.07844	0.00100	0.05921	0.00100	0.07663	0.26572	0.00000	0.08667
+25.00000	+30.00000	+70.00000	+200.00000	0.09415	0.00100	0.06155	0.00100	0.09392	0.28096	0.00000	0.10115
+30.00000	+35.00000	+70.00000	+200.00000	0.10539	0.00100	0.06385	0.00100	0.10639	0.28848	0.00000	0.10590
+35.00000	+40.00000	+70.00000	+200.00000	0.11318	0.00100	0.06720	0.00100	0.10746	0.29550	0.00000	0.11794
+40.00000	+50.00000	+70.00000	+200.00000	0.11340	0.00100	0.06959	0.00100	0.11294	0.29850	0.00000	0.09608
